Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
blackhand,Information/eBooks,Satanic Bible Underground Edition,Digital download sent via PM  The Satanic Bible (Underground Edition 2)  We're back: with version 2.0...  Underground Edition 2 is an attempt to create the best possible electronic version of D ...,0.004710781818181819 BTC,Internet,,4.99/5,
fake,Information/eBooks,Step-by-Step Guide to Vanishing Without a Trace,HIDE YOUR A$$ET$  AND DISAPPEAR A Step-by-Step Guide to Vanishing Without a Trace,0.02195306078740157 BTC,,,4.782/5,
Hackyboy,Information/eBooks,THE CLANDESTINE CHEMIST'S BOOK,This is an ebook that will explain to you exactly how to manufacture illegal drugs.   The methods explained within this text file are proven syntheses for manufacturing illegal drugs. You will not ...,0.01046326907407407 BTC,Torland,,4.92/5,
fake,Information/eBooks,How to disappear in America without a trace - 96 pages,How to disappear in America without a trace - 96 pages  PDF EBOOK,0.028087681093750008 BTC,Torland,,4.782/5,
blackhand,Information/eBooks,The Popular Life - Make People Like  Respect  and Befriend You,Digital download sent via PM  The Popular Life  ========== Language: English Format: PDF Pages: 56 Files: - The Popular Life.pdf ==========  Some people find me arrogant. Don't like that? ...,0.004676039767441856 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,Cheaper  Better  Faster: Over 2 000 Tips and Tricks to Save You,What if there were one book that could help you do nearly everything in life cheaper  better  and faster? Show you how to remove hairspray baked onto a curling iron. How to make white shoes look like ...,0.0046907386614173235 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,Cocaine: the Straight Facts,Digital download sent via PM  Drugs are everywhere--on our streets  in our homes  and in our schools--but straight facts about drugs are not. Drugs: The Straight Facts fills this void with candid d ...,0.004708973387096773 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,Psychedelic Chemistry,Digital download sent via PM  Review from Erowid: Psychedelic Chemistry has been a long standing favorite  a must for every clandestine chemist’s bookshelf for decades. It was first published in t ...,0.004668691562499998 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,Altered states of consciousness,Digital download sent via PM  Combining the best of the humanistic and scientific traditions  this book covers the effects of drugs  yoga  self-hypnosis  mutual hypnosis  meditation  brainwave feed ...,0.004688048682170545 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,DMT: The Spirit Molecule - Documentary,Digital download sent via PM  From 1990 to 1995 Dr. Rick Strassman conducted U.S. Government-approved and funded clinical research at the University of New Mexico in which he injected sixty volunte ...,0.0032346332000000007 BTC,Internet,,4.99/5,
secretsquirrel2,Information/eBooks,Pay no Fine A User Guide to Successfully Fighting Traffic Tickets,PART One - From Driveway to Court Day Chapter 1 How to avoid a traffic ticket Chapter 2 Radar Detectors and Jammers Chapter 3 What to do when you are stopped Chapter 4 Fight  plea or Pay? What t ...,0.00412660 BTC,Torland,,~5/5,
blackhand,Information/eBooks,The Basics of Hacking and Penetration Testing: Ethical Hacking and Penetration Testing Made Easy,Digital download sent via PM  The Basics of Hacking and Penetration Testing serves as an introduction to the steps required to complete a penetration test or perform an ethical hack. You learn how  ...,0.004705157709923662 BTC,Internet,,4.99/5,
everythingman,Information/eBooks,Essential Underground Handbook,Essential Underground Handbook  The Essential Underground Handbook EBOOK PDF  Description:  Offshore Banking 01. Introduction 02. So Why Go Offshore? 03. Offshore Agents and Big Brother 04. ...,0.006738952857142855 BTC,Torland,,4.35/5,
blackhand,Information/eBooks,Jitbit Macro Recorder,Digital download of installer and serial sent via PM  Jitbit Macro Recorder - the best macro program for Windows. Not just a keyboard and mouse recorder but a powerful automation tool that converts ...,0.0046836044961240325 BTC,Internet,,4.99/5,
Hackyboy,Information/eBooks,Murder guide,Hitmen  cleaners  murderer’s  assassins  professional killers. Very few people ever consider killing as a profession; but for more people than the world’s governments care to admit  killing other peo ...,0.0248987896969697 BTC,Torland,,4.92/5,
optiman,Information/eBooks,Cannabis Grow Bible,This guide offers methods for growers who want to maximize the yield and potency of their crop. It explains the Screen of Green” technique that gives a higher yield using fewer plants  an important d ...,0.008539964403669725 BTC,USA,Worldwide,5.00/5,
blackhand,Information/eBooks,Phenomenology and Mysticism: The Verticality of Religious Experience,Digital download sent via PM  Exploring the first-person narratives of three figures from the Christian  Jewish  and Islamic mystical traditions—St. Teresa of Avila  Rabbi Dov Baer  and RÅ«zbihÄn B ...,0.004697257364341084 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,Cannabis Alchemy: Art of Modern Hashmaking,A hard-to-find cult classic is now back in print  revised and updated. Alchemist D. Gold reveals the inner world of marijuana and hashish  uncovering secrets and modern techniques to enhance potency. ...,0.004683672868217054 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,The Organic Chem Lab Survival Manual 3rd edition,Digital Download sent via PM  This clearly written presentation of basic organic chemistry techniques is designed to quickly build student proficiency in a wide range of experimental procedures. Wr ...,0.004672095468749999 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,Plants of the Gods: Their Sacred  Healing  and Hallucinogenic Powers,"Digital download sent via PM  Three scientific titans join forces to completely revise the classic text on the ritual uses of psychoactive plants. They provide a fascinating testimony of these ""pla ...",0.004681448582677162 BTC,Internet,,4.99/5,
Hackyboy,Information/eBooks,Indoor Marijuana Cultivation,This is a guide that I pulled off the net that puts everything in plain and simple English  and doesn’t go to deep into advanced botany and gardening. I find this one to be the best guide out there.,0.01046326907407407 BTC,Torland,,4.92/5,
livinglarge,Information/eBooks,spicy hotel booking,$916 ,1.794776287692308 BTC,,,5.00/5,
blackhand,Information/eBooks,The Dream Drugstore: Chemically Altered States of Consciousness,digital download sent via PM  In this book  J. Allan Hobson offers a new understanding of altered states of consciousness based on knowledge of how our brain chemistry is balanced when we are awake ...,0.004676594881889762 BTC,Internet,,4.99/5,
Hackyboy,Information/eBooks,Special Cunnilingus Techniques and Secrets,The techniques here  therefore  are centered around cunnilingus  including (since there's no separate name) using your fingers. Along a similar line I've now written Advanced Fellatio Techniques and  ...,0.01046329722222222 BTC,Torland,,4.92/5,
fake,Information/eBooks,TOP 5 OFFSHORE BANKING LICENCE JURISDICTIONS: 2012 REPORT,TOP 5 OFFSHORE BANKING LICENCE JURISDICTIONS: 2012 REPORT,0.024974593520000008 BTC,,,4.782/5,
Hackyboy,Information/eBooks,172 ebooks about SEX,Collection of 172 ebooks about sex : techniques  secrets  Kamasutra  ...  The most complete file about sex and all the means to practice,0.052649176666666665 BTC,Torland,,4.92/5,
fake,Information/eBooks,Increasing Data Privacy with Self-Destructing Data,Abstract Today’s technical and legal landscape presents formidable challenges to personal data privacy. First  our increasing reliance on Web services causes personal data to be cached  copied  a ...,0.01665218452173913 BTC,,,4.782/5,
fake,Information/eBooks,DRUGS 2.0 - The Web Revolution,DRUGS 2.0 The Web Revolution That’s Changing How the World Gets High  CONTENTS:   List of Acronyms Prologue: Contemporary Chemical Culture 1 Vegetable to Chemical 2 The Great Ecstasy of the ...,0.01588897484615384 BTC,,,4.782/5,
norman,Information/eBooks,[1¢] Hacking Wireless Networks For Dummies,"Become a cyber-hero - know the common wireless weaknesses  ""Reading a book like this one is a worthy endeavor toward becoming an experienced wireless security professional."" --Devin Akin - CTO  Th ...",1e-07 BTC,,,5.00/5,
captainkirk,Information/eBooks,Negotiate to Win: The 21 Rules for Successful Negotiating,Negotiation is one skill everyone needs in order to get more of what they want -- to sell more  to keep costs down  to manage better  to strengthen relationships -- to win! Thomas shows you exactly h ...,0.0035576300958466488 BTC,Internet,Everywhere,4.988/5,
fake,Information/eBooks,PROTECTING YOUR IDENTITY AND SECURITY ONLINE AND WHEN USING MOBILE PHONES,A PRACTICAL GUIDE TO PROTECTING YOUR IDENTITY AND SECURITY ONLINE AND WHEN USING MOBILE PHONES FOR CITIZENS IN THE MIDDLE EAST  NORTH AFRICA AND BEYOND  This guide is written for citizens in th ...,0.023213646198347107 BTC,,,4.782/5,
fake,Information/eBooks,GNUPG : High Level Cryptography,I decided to write a guide on how to use e-mail with cryptography because internet privacy is very important and most digital communications these days are insecure.  Right now you are exposed to a ...,0.016676647652173915 BTC,,,4.782/5,
fake,Information/eBooks,AK47: Full Auto Conversion for Dummies,AK47: Full Auto Conversion for Dummies,0.0222340669767442 BTC,,,4.782/5,
echo,Information/eBooks,Sex  Ecology  Spirituality: The Spirit of Evolution,"Ken Wilber's life has been a sort of focal point for the religions  philosophies  and wisdom traditions of the world  and today lives as one of the most influential philosophers in the world.  ""Sex ...",0.002823691481481482 BTC,,,5.00/5,
Aracay,Information/eBooks,The Great Power of Positive Thinking,High Quality eBook (17 Page PDF File) Positive thinking is something that allows you to turn negatives into positives. It allows you to look on the brighter side of life. Positive thinking will open ...,0.03367481707964604 BTC,Torland,,~5/5,
fake,Information/eBooks,The anarchist arsenal,The procedures in this manual and the resulting end-product are extremely dangerous. Whenever dealing with high explosives  special precautions should be followed in accordance with industry standard ...,0.01582896120967741 BTC,,,4.782/5,
fake,Information/eBooks,underground guide to improvised weapons,Title : Prepper's underground guide to improvised weapons ! How to protect yourself without a firearm using everyday items ! Year : 2012  Why Impact Weapons ? It's important to understand differen ...,0.015809653046874986 BTC,,,4.782/5,
captainkirk,Information/eBooks,The Psychology of Interrogations and Confessions: A Handbook,This volume  a sequel to The Psychology of Interrogations  Confessions and Testimony which is widely acclaimed by both scientists and practitioners  brings the field completely up-to-date and focuses ...,0.0033541514754098336 BTC,Internet,Everywhere,4.988/5,
fake,Information/eBooks,Terrorist explosive sourcebook,How are terrorist improvised explosive devices (IEDs) constructed ? Why do they sometimes claim the lives of even well-trained and suspicious personnel  and how can we avoid becoming a victim of them ...,0.014821128598130834 BTC,,,4.782/5,
fake,Information/eBooks,1 787 Kindle eBooks MEGA COLLECTION,1 787 Kindle eBooks MEGA COLLECTION,0.10854640783333334 BTC,,,4.782/5,
RichDadPoorDad,Information/eBooks,RICH DAD ELITE Focus FOREX,*** THIS IS RICH DADS ELITE FOREX CLASS ***  The foreign exchange market (FOREX)  where one currency is traded for another  is the largest  most liquid market in the world. This exciting Focus FORE ...,0.35502229875 BTC,Internet,,[0 deals],
fake,Information/eBooks,Nmap Network Scanning,Official Nmap Project Guide to Network Discovery and Security Scanning  From port scanning basics for novices to the type of packet crafting used by advanced hackers  this book by Nmap's author an ...,0.02605722848739497 BTC,,,4.782/5,
fake,Information/eBooks,SURVIVAL : 1000 EBOOKS,MEGA COLLECTION OF SURVIVAL EMERGENCY DISASTER FIRST AID EBOOKS  Preparedness General  All Hazard Preparedness Workbook ARC - Emergency Preparedness Checklist ARC - Family Disaster Plan ARC - ...,0.09740289601626012 BTC,,,4.782/5,
captainkirk,Information/eBooks,The Worst-Case Scenario Survival Handbook,Danger! It lurks at every corner. Volcanoes. Sharks. Quicksand. Terrorists. The pilot of the plane blacks out and it's up to you to land the jet. What do you do? The Worst-Case Scenario Survival Hand ...,0.003472979054054055 BTC,Internet,Everywhere,4.988/5,
space100...,Information/eBooks,MASTER LOCK LEO Combination Code Book - 2000 Pages!,This listing is for a digital copy of the Law Enforcement Code Book for the Master Lock Combination Padlocks.    It is 2000 pages of every combination utilized up through 2006 (all of which are sti ...,0.8558823529411762 BTC,Torland,,~5/5,
fake,Information/eBooks,Secrets of Methamphetamine Manufacture 8th edition,Secrets of Methamphetamine Manufacture 8th edition 225 pages | 8 Mb  The best book ever written in the field of clandestine chemistry has just gotten even better with a new 8th edition. I present  ...,0.018906540703125 BTC,,,4.782/5,
captainkirk,Information/eBooks,Homemade Guns And Homemade Ammo,How many homemade gun books have you read  only to discover that to make the thing work you needed a metal lathe or a milling machine? This book covers it all: legalities  concepts of ballistics  a b ...,0.0034923850764526 BTC,Internet,Everywhere,4.988/5,
Aracay,Information/eBooks,The Secret Of Innovative Thinking,High Quality eBook (17 Page PDF File) Invent something and become a millionaire or even a billionaire! Inventions and ideas are the products of innovative thinking. It is common for people to misund ...,0.0341142332173913 BTC,Torland,,~5/5,
Aracay,Information/eBooks,13 Amazing Secrets You Need To Succeed,High Quality Guide (26 Page PDF File) You Will Learn 13 Amazing Secrets You Need To Succeed Online and Offline. What Most GURUS Won't Tell You & How I Discovered These Amazing Little Known 'Inner Ga ...,0.05088446763157894 BTC,Torland,,~5/5,
Aracay,Information/eBooks,How To Stop Getting Panic Attacks,High Quality eBook (25 Page PDF File)  eBook Contents      Free Yourself.....4     What Are the Physical Signs?.....5     What Are the Symptoms.....7     What Causes a Panic Attack?.....9     ...,0.033957266896551735 BTC,Torland,,~5/5,
captainkirk,Information/eBooks,Physics of the Impossible,Teleportation  time machines  force fields  and interstellar space ships—the stuff of science fiction or potentially attainable future technologies? Inspired by the fantastic worlds of Star Trek  Sta ...,0.003430059471544713 BTC,Internet,Everywhere,4.988/5,
Aracay,Information/eBooks,How to Choose the Right Web Designer,High Quality Guide (7 Page PDF File) A Checklist for Professional Web Design. The Internet has changed the way the world does business  and that's just as true for the business next door as for the  ...,0.033929139999999997 BTC,Torland,,~5/5,
